,NAME,INTPTLAT,INTPTLONG,CBSA,POPESTIMATE
102,"Columbia, SC",34.077585,-81.037845,17900,838250
103,"Columbus, GA-AL",32.419377,-84.843709,17980,327536
104,"Columbus, IN",39.205843,-85.897999,18020,82475
105,"Columbus, MS",33.471424,-88.439723,18060,58150
106,"Columbus, OH",39.968562,-82.835911,18140,2151017
107,"Concord, NH",43.299579,-71.680041,18180,155238
108,"Connersville, IN",39.639655,-85.185032,18220,23360
109,"Corinth, MS",34.886569,-88.581109,18420,34349
110,"Cornelia, GA",34.634392,-83.525875,18460,46774
111,"Corning, NY",42.266725,-77.385525,18500,92948
112,"Corpus Christi, TX",27.833597,-97.508958,18580,422778
113,"Corsicana, TX",32.048448,-96.476909,18620,53591
114,"Cortland, NY",42.594039,-76.07624,18660,46311
115,"Corvallis, OR",44.493882,-123.424664,18700,96017
116,"Craig, CO",40.610864,-108.217154,18780,13185
117,"Crawfordsville, IN",40.040296,-86.892715,18820,38063
118,"Cullman, AL",34.131923,-86.869267,18980,89496
119,"Dallas-Fort Worth-Arlington, TX",32.849171,-96.970489,19100,7759615
120,"Dalton, GA",34.796956,-84.856279,19140,142799
121,"Daphne-Fairhope-Foley, AL",30.659218,-87.746067,19300,239294
122,"Davenport-Moline-Rock Island, IA-IL",41.39168,-90.460076,19340,381568
123,"Dayton, TN",35.60059,-84.949548,19420,33136
124,"Dayton-Kettering, OH",39.829746,-84.140992,19430,813516
125,"Decatur, AL",34.489361,-87.097147,19460,156758
126,"Decatur, IN",40.745733,-84.93613,19540,35961
127,"Deltona-Daytona Beach-Ormond Beach, FL",29.1789,-81.189023,19660,685344
128,"Denver-Aurora-Lakewood, CO",39.434789,-104.901073,19740,2972566
129,"DeRidder, LA",30.645018,-93.340253,19760,36584
130,"Des Moines-West Des Moines, IA",41.57705,-93.759712,19780,719146
131,"Detroit-Warren-Dearborn, MI",42.721848,-83.200846,19820,4365205
132,"Dixon, IL",41.747447,-89.299362,19940,34049
133,"Dothan, AL",31.245528,-85.46919,20020,151618
134,"Dover, DE",39.097088,-75.502982,20100,184149
135,"DuBois, PA",41.006862,-78.477724,20180,80082
136,"Durant, OK",33.964004,-96.265135,20460,47105
137,"Durham-Chapel Hill, NC",36.060589,-78.989787,20500,654012
138,"Easton, MD",38.748349,-76.178476,20660,37626
139,"East Stroudsburg, PA",41.05624,-75.329065,20700,169273
140,"Eau Claire, WI",44.938672,-91.284322,20740,173317
141,"Edwards, CO",39.626992,-106.695169,20780,55727
142,"El Campo, TX",29.27848,-96.229674,20900,41721
143,"Elizabeth City, NC",36.197118,-76.34244,21020,53951
144,"Elizabethtown-Fort Knox, KY",37.73298,-85.972171,21060,156766
145,"Elkhart-Goshen, IN",41.600693,-85.863986,21140,206921
146,"Elmira, NY",42.148697,-76.752471,21300,83045
147,"El Paso, TX",31.527394,-105.521333,21340,871234
148,"Erie, PA",42.117952,-80.096386,21500,269011
149,"Española, NM",36.509669,-106.693983,21580,40179
150,"Fairmont, WV",39.505839,-80.243402,21900,56001
151,"Fargo, ND-MN",46.914859,-96.960183,22020,252136
152,"Faribault-Northfield, MN",44.350775,-93.298513,22060,67262
153,"Farmington, MO",37.810707,-90.473868,22100,67541
154,"Fayetteville, NC",35.155986,-78.93185,22180,524588
155,"Fernley, NV",39.022213,-119.197425,22280,60903
156,"Findlay, OH",41.000217,-83.665947,22300,74656
157,"Flint, MI",43.021077,-83.706372,22420,404208
158,"Forrest City, AR",35.022838,-90.751506,22620,22739
159,"Fort Madison-Keokuk, IA-IL-MO",40.478345,-91.409363,22800,57351
160,"Fort Payne, AL",34.460915,-85.804021,22840,71813
161,"Fort Polk South, LA",31.102841,-93.18833,22860,48027
162,"Fort Wayne, IN",41.113116,-85.217705,23060,423038
163,"Frankfort, IN",40.305944,-86.477567,23140,33065
164,"Frankfort, KY",38.121449,-84.933167,23180,75717
165,"Fredericksburg, TX",30.325093,-98.94185,23240,27297
166,"Freeport, IL",42.349726,-89.665994,23300,44021
167,"Fremont, NE",41.577008,-96.645852,23340,37103
168,"Fremont, OH",41.355319,-83.142776,23380,58715
169,"Fresno, CA",36.761006,-119.655019,23420,1013581
170,"Gaffney, SC",35.049796,-81.607647,23500,56052
171,"Gainesville, FL",29.453355,-82.666257,23540,341756
172,"Gainesville, GA",34.317569,-83.8185,23580,207369
173,"Gainesville, TX",33.639196,-97.210343,23620,42244
174,"Gardnerville Ranchos, NV",38.905129,-119.609019,23820,49870
175,"Georgetown, SC",33.417531,-79.296333,23860,63921
176,"Gettysburg, PA",39.869471,-77.21773,23900,104127
177,"Glasgow, KY",36.967571,-85.815497,23980,54893
178,"Glens Falls, NY",43.44045,-73.636757,24020,126574
179,"Glenwood Springs, CO",39.509542,-107.667311,24060,79509
180,"Gloversville, NY",43.115609,-74.423678,24100,53116
181,"Granbury, TX",32.430149,-97.831677,24180,64222
182,"Grand Rapids-Kentwood, MI",43.037598,-85.778167,24340,1091620
183,"Grants Pass, OR",42.386983,-123.57162,24420,88346
184,"Greeley, CO",40.555961,-104.383666,24540,340036
185,"Green Bay, WI",44.474024,-87.99613,24580,329490
186,"Greensboro-High Point, NC",36.025204,-79.792633,24660,778848
187,"Greensburg, IN",39.30598,-85.499831,24700,26320
188,"Greenville, NC",35.59249,-77.372739,24780,172169
189,"Greenville, OH",40.131467,-84.621191,24820,51597
190,"Greenville-Anderson, SC",34.683709,-82.413423,24860,940774
191,"Greenwood, SC",34.155796,-82.127876,24940,69241
192,"Hagerstown-Martinsburg, MD-WV",39.554433,-77.984594,25180,298227
193,"Hammond, LA",30.621348,-90.40649,25220,135217
194,"Hanford-Corcoran, CA",36.072478,-119.81553,25260,153443
195,"Hannibal, MO",39.664115,-91.579179,25300,38879
196,"Harrisburg-Carlisle, PA",40.335915,-77.05049,25420,596305
197,"Harrisonburg, VA",38.507585,-78.885321,25500,135824
198,"Hartford-East Hartford-Middletown, CT",41.71865,-72.573919,25540,1211906
199,"Hattiesburg, MS",31.273766,-89.300634,25620,173078
200,"Heber, UT",40.699219,-111.020425,25720,79266
201,"Henderson, NC",36.365481,-78.405434,25780,42185
202,"Hinesville, GA",31.778788,-81.57648,25980,82863
203,"Holland, MI",42.421251,-86.261403,26090,120950
204,"Hot Springs, AR",34.578852,-93.146932,26300,100330
205,"Houston-The Woodlands-Sugar Land, TX",29.749593,-95.353642,26420,7206841
206,"Hudson, NY",42.247696,-73.626718,26460,61778
207,"Huntingdon, PA",40.422311,-77.968595,26500,43889
208,"Huntington, IN",40.826394,-85.478597,26540,36717
209,"Huntington-Ashland, WV-KY-OH",38.406577,-82.542646,26580,356581
210,"Huntsville, AL",34.783262,-86.734871,26620,502728
211,"Huntsville, TX",30.743163,-95.569825,26660,77977
212,"Hutchinson, MN",44.821657,-94.272323,26780,36735
213,"Idaho Falls, ID",43.620423,-112.420919,26820,162786
214,"Indiana, PA",40.651432,-79.087545,26860,82886
215,"Indianapolis-Carmel-Anderson, IN",39.74867,-86.212382,26900,2126804
216,"Indianola, MS",33.605529,-90.59509,26940,25402
217,"Iowa City, IA",41.517806,-91.64793,26980,177239
218,"Iron Mountain, MI-WI",45.947705,-88.08097,27020,30380
219,"Ithaca, NY",42.453006,-76.473483,27060,105162
220,"Jackson, MS",32.42828,-90.202388,27140,587202
221,"Jackson, TN",35.753215,-88.882692,27180,180799
222,"Jacksonville, FL",30.236594,-81.754446,27260,1637666
223,"Jacksonville, IL",39.69395,-90.285047,27300,37442
224,"Jacksonville, TX",31.843881,-95.156343,27380,51097
225,"Janesville-Beloit, WI",42.66988,-89.075284,27500,164381
226,"Jasper, AL",33.791558,-87.301094,27530,64818
227,"Jefferson, GA",34.130905,-83.562557,27600,80286
228,"Jennings, LA",30.269529,-92.816221,27660,32345
229,"Jesup, GA",31.547845,-81.912376,27700,30380
230,"Johnson City, TN",36.265822,-82.332693,27740,208068
231,"Johnstown, PA",40.510227,-78.710477,27780,132167
232,"Jonesboro, AR",35.696978,-90.650175,27860,134878
233,"Joplin, MO",37.055546,-94.339736,27900,182541
234,"Kalamazoo-Portage, MI",42.246266,-85.532854,28020,261108
235,"Kankakee, IL",41.13951,-87.861117,28100,106601
236,"Kansas City, MO-KS",38.931857,-94.443841,28140,2199490
237,"Kendallville, IN",41.404679,-85.417271,28340,47227
238,"Kennewick-Richland, WA",46.364155,-119.254927,28420,308293
239,"Kerrville, TX",30.059953,-99.353339,28500,53161
240,"Key West, FL",25.58612,-81.022603,28580,82170
241,"Kill Devil Hills, NC",35.606269,-75.767536,28620,37826
242,"Kingsport-Bristol, TN-VA",36.604161,-82.440145,28700,308661
243,"Kingston, NY",41.947212,-74.265458,28740,182951
244,"Kingsville, TX",27.113943,-97.568508,28780,30975
245,"Kinston, NC",35.240066,-77.635514,28820,54706
246,"Knoxville, TN",36.014791,-84.206701,28940,893412
247,"Kokomo, IN",40.483537,-86.114118,29020,83687
248,"Laconia, NH",43.519109,-71.425366,29060,64460
249,"Lafayette, LA",29.957773,-92.04935,29180,479212
250,"Lafayette-West Lafayette, IN",40.482153,-87.017112,29200,224709
251,"LaGrange, GA-AL",32.970298,-85.24416,29300,104261
252,"Lake Charles, LA",29.978755,-93.253243,29340,210362
253,"Lake City, FL",30.221651,-82.623371,29380,70385
254,"Lakeland-Winter Haven, FL",27.953649,-81.693534,29460,753520
255,"Las Cruces, NM",32.349919,-106.834968,29740,221508
256,"Las Vegas, NM",35.644067,-104.863027,29780,31346
257,"Las Vegas-Henderson-Paradise, NV",36.21413,-115.014398,29820,2292476
258,"Laurel, MS",31.825465,-89.148054,29860,83035
259,"Laurinburg, NC",34.840023,-79.477337,29900,34227
260,"Lawrence, KS",38.896417,-95.290947,29940,119363
261,"Lawrenceburg, TN",35.220476,-87.396546,29980,44828
262,"Lebanon, PA",40.371448,-76.464819,30140,143493
263,"Levelland, TX",33.605932,-102.343398,30220,21363
264,"Lewisburg, PA",40.962179,-77.055475,30260,42568
265,"Lewisburg, TN",35.468343,-86.765865,30280,34984
266,"Lewiston-Auburn, ME",44.167681,-70.207435,30340,111034
267,"Lexington-Fayette, KY",38.102876,-84.438545,30460,517846
268,"Lima, OH",40.771627,-84.106103,30620,101670
269,"Lincoln, IL",40.129277,-89.365309,30660,27992
270,"Lincoln, NE",40.817429,-96.868801,30700,342117
271,"Little Rock-North Little Rock-Conway, AR",34.755773,-92.400589,30780,750936
272,"Lock Haven, PA",41.239508,-77.629009,30820,37465
273,"Longview, WA",46.196785,-122.67846,31020,111524
274,"Los Alamos, NM",35.870047,-106.307968,31060,19330
275,"Los Angeles-Long Beach-Anaheim, CA",34.108703,-118.182753,31080,12997353
276,"Louisville/Jefferson County, KY-IN",38.305838,-85.681645,31140,1284566
277,"Lubbock, TX",33.470327,-101.648825,31180,325245
278,"Lumberton, NC",34.63921,-79.100881,31300,116328
279,"Macon-Bibb County, GA",32.856216,-83.714305,31420,233883
280,"Madera, CA",37.209821,-119.749802,31460,159410
281,"Madison, WI",43.083846,-89.597745,31540,683183
282,"Malvern, AR",34.315177,-92.944147,31680,33148
283,"Manchester-Nashua, NH",42.911532,-71.723055,31700,424079
284,"Mankato, MN",44.15481,-94.147801,31860,103612
285,"Mansfield, OH",40.774159,-82.542781,31900,125195
286,"Marietta, OH",39.450676,-81.490636,31930,59423
287,"Marinette, WI-MI",45.435279,-87.769216,31940,65174
288,"Marion, NC",35.682271,-82.048044,32000,44717
289,"Marion, OH",40.588034,-83.168803,32020,65291
290,"Martin, TN",36.303596,-88.721194,32280,33036
291,"Mayfield, KY",36.723344,-88.649897,32460,36615
292,"Maysville, KY",38.594137,-83.828125,32500,16931
293,"McAllen-Edinburg-Mission, TX",26.396384,-98.18099,32580,880356
294,"Meadville, PA",41.687876,-80.107795,32740,83351
295,"Medford, OR",42.411621,-122.675611,32780,223734
296,"Memphis, TN-MS-AR",35.024419,-89.871971,32820,1336103
297,"Menomonie, WI",44.947751,-91.897645,32860,45547
298,"Merced, CA",37.194806,-120.722802,32900,286461
299,"Mexico, MO",39.214481,-91.843418,33020,24982
300,"Miami, OK",36.835764,-94.802681,33060,30340
301,"Miami-Fort Lauderdale-Pompano Beach, FL",26.101828,-80.478755,33100,6091747
302,"Michigan City-La Porte, IN",41.549013,-86.744739,33140,112390
303,"Midland, MI",43.648203,-84.379414,33220,83457
304,"Midland, TX",32.092359,-101.994539,33260,173180
305,"Milwaukee-Waukesha, WI",42.912643,-87.862312,33340,1566487
306,"Minden, LA",32.732152,-93.339825,33380,36184
307,"Mineral Wells, TX",32.752204,-98.317967,33420,28686
308,"Minneapolis-St. Paul-Bloomington, MN-WI",45.096664,-93.275361,33460,3690512
309,"Moberly, MO",39.439249,-92.492959,33620,24760
310,"Mobile, AL",30.971509,-88.20787,33660,428220
311,"Modesto, CA",37.562316,-121.002831,33700,552999
312,"Monroe, LA",32.734255,-92.09955,33740,204884
313,"Monroe, MI",41.916097,-83.487106,33780,155274
314,"Montgomery, AL",32.365631,-86.404585,33860,385798
315,"Morehead City, NC",34.858343,-76.53586,33980,68541
316,"Morgan City, LA",29.629349,-91.463804,34020,48232
317,"Morgantown, WV",39.525155,-79.801912,34060,140745
318,"Morristown, TN",36.168802,-83.422614,34100,143855
319,"Moscow, ID",46.81892,-116.730974,34140,40313
320,"Moses Lake, WA",47.213633,-119.467788,34180,100297
321,"Mountain Home, ID",43.394698,-115.471205,34300,28827
322,"Mount Airy, NC",36.415416,-80.686463,34340,71152
323,"Mount Gay-Shamrock, WV",37.830591,-81.940853,34350,31909
324,"Mount Pleasant, MI",43.645233,-84.839424,34380,64813
325,"Mount Sterling, KY",38.039616,-83.747734,34460,47191
326,"Mount Vernon, OH",40.40362,-82.422393,34540,62897
327,"Mount Vernon-Anacortes, WA",48.493292,-121.81577,34580,130696
328,"Muncie, IN",40.227543,-85.399262,34620,111871
329,"Muscatine, IA",41.483776,-91.118699,34700,42688
330,"Muskegon, MI",43.428739,-86.420908,34740,176511
331,"Muskogee, OK",35.617551,-95.383911,34780,66146
332,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",33.969095,-78.612724,34820,509794
333,"Napa, CA",38.5071,-122.325904,34900,136207
334,"Naples-Marco Island, FL",26.118786,-81.400955,34940,385980
335,"Nashville-Davidson--Murfreesboro--Franklin, TN",36.118182,-86.64412,34980,2012476
336,"New Bern, NC",35.116829,-77.08132,35100,122273
337,"Newberry, SC",34.289881,-81.599676,35140,37996
338,"New Castle, IN",39.929591,-85.397363,35220,48935
339,"New Castle, PA",40.992735,-80.334446,35260,85497
340,"New Haven-Milford, CT",41.349718,-72.900203,35300,863700
341,"New Orleans-Metairie, LA",30.05342,-89.934502,35380,1261726
342,"New Philadelphia-Dover, OH",40.44749,-81.471105,35420,92500
343,"Newport, TN",35.916198,-83.119224,35460,36418
344,"New Ulm, MN",44.246541,-94.733647,35580,25819
345,"New York-Newark-Jersey City, NY-NJ-PA",40.77493,-73.873758,35620,19768458
346,"Niles, MI",41.791382,-86.742543,35660,153101
347,"Nogales, AZ",31.525733,-110.845228,35700,47883
348,"North Port-Sarasota-Bradenton, FL",27.329055,-82.414533,35840,859760
349,"North Vernon, IN",38.996229,-85.628103,35860,27409
350,"Norwalk, OH",41.14508,-82.594641,35940,58367
351,"Norwich-New London, CT",41.472652,-72.108634,35980,268805
352,"Oak Harbor, WA",48.158554,-122.670649,36020,87432
353,"Ocean City, NJ",39.085841,-74.846354,36140,95661
354,"Odessa, TX",31.865301,-102.542507,36220,161091
355,"Ogden-Clearfield, UT",41.622623,-113.060252,36260,706696
356,"Oklahoma City, OK",35.430968,-97.506966,36420,1441647
357,"Olean, NY",42.239099,-78.662332,36460,76426
358,"Olympia-Lacey-Tumwater, WA",46.935822,-122.830152,36500,297977
359,"Omaha-Council Bluffs, NE-IA",41.290459,-95.99997,36540,971637
360,"Ontario, OR-ID",43.225869,-117.619933,36620,58043
361,"Opelousas, LA",30.583441,-91.989274,36660,82071
362,"Orangeburg, SC",33.436135,-80.802913,36700,82962
363,"Orlando-Kissimmee-Sanford, FL",28.434396,-81.356084,36740,2691925
364,"Oshkosh-Neenah, WI",44.085707,-88.668149,36780,171623
365,"Oskaloosa, IA",41.330797,-92.636366,36820,21984
366,"Othello, WA",47.011238,-118.512861,36830,20621
367,"Ottawa, IL",41.356488,-89.173385,36837,147414
368,"Ottawa, KS",38.558019,-95.278962,36840,25986
369,"Owatonna, MN",44.015261,-93.220453,36940,37349
370,"Oxnard-Thousand Oaks-Ventura, CA",34.358748,-119.133145,37100,839784
371,"Ozark, AL",31.430654,-85.609476,37120,49342
372,"Paducah, KY-IL",37.134181,-88.656668,37140,98068
373,"Pahrump, NV",37.965864,-116.459011,37220,53450
374,"Palatka, FL",29.593896,-81.732039,37260,74167
375,"Pampa, TX",35.617393,-100.810553,37420,21827
376,"Paragould, AR",36.120607,-90.566346,37500,46317
377,"Parkersburg-Vienna, WV",39.141531,-81.460402,37620,88687
378,"Payson, AZ",33.789618,-110.81187,37740,53589
379,"Pearsall, TX",28.869383,-99.109005,37770,18436
380,"Pella, IA",41.331433,-93.093868,37800,33380
381,"Pensacola-Ferry Pass-Brent, FL",30.608557,-87.158547,37860,516388
382,"Peru, IN",40.772883,-86.044258,37940,36081
383,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.894958,-75.311982,37980,6228601
384,"Phoenix-Mesa-Chandler, AZ",33.185765,-112.067862,38060,4946145
385,"Picayune, MS",30.774793,-89.586904,38100,56503
386,"Pine Bluff, AR",34.081204,-91.945765,38220,86412
387,"Pinehurst-Southern Pines, NC",35.308272,-79.492725,38240,102763
388,"Pittsburgh, PA",40.439525,-79.836097,38300,2353538
389,"Plainview, TX",34.068436,-101.822888,38380,32220
390,"Plymouth, IN",41.325003,-86.269036,38500,46121
391,"Point Pleasant, WV-OH",38.798396,-82.180553,38580,54315
392,"Pontiac, IL",40.894376,-88.552852,38700,35664
393,"Portales, NM",34.021207,-103.483004,38780,19019
394,"Portland-South Portland, ME",43.651417,-70.418375,38860,556893
395,"Portland-Vancouver-Hillsboro, OR-WA",45.600622,-122.484378,38900,2511612
396,"Port Lavaca, TX",28.441719,-96.579574,38920,19727
397,"Port St. Lucie, FL",27.228046,-80.425388,38940,503521
398,"Portsmouth, OH",38.814889,-82.998675,39020,73346
399,"Poughkeepsie-Newburgh-Middletown, NY",41.575274,-74.033873,39100,701637
400,"Prineville, OR",44.163054,-120.371585,39260,25739
401,"Providence-Warwick, RI-MA",41.70684,-71.286687,39300,1675774
402,"Provo-Orem, UT",39.872067,-112.359059,39340,697141
403,"Pueblo, CO",38.162765,-104.484668,39380,169622
404,"Pullman, WA",46.905944,-117.53539,39420,47873
405,"Punta Gorda, FL",26.906396,-82.003657,39460,194843
406,"Quincy, IL-MO",40.027165,-91.389838,39500,74954
407,"Racine, WI",42.780392,-87.771599,39540,196896
408,"Raleigh-Cary, NC",35.756746,-78.460441,39580,1448411
409,"Rapid City, SD",44.314673,-102.785719,39660,141979
410,"Raymondville, TX",26.481861,-97.594731,39700,20316
411,"Reading, PA",40.413957,-75.92686,39740,429342
412,"Red Bluff, CA",40.126157,-122.232274,39780,65498
413,"Redding, CA",40.760514,-122.043556,39820,182139
414,"Red Wing, MN",44.406178,-92.716,39860,47968
415,"Reno, NV",40.500795,-119.731161,39900,497535
416,"Rexburg, ID",44.142753,-111.508107,39940,67473
417,"Richmond, IN",39.863091,-85.006735,39980,66456
418,"Richmond-Berea, KY",37.717206,-84.168436,40080,108758
419,"Rio Grande City-Roma, TX",26.530903,-98.740235,40100,66049
420,"Riverside-San Bernardino-Ontario, CA",34.538476,-116.134541,40140,4653105
421,"Roanoke Rapids, NC",36.320576,-77.542757,40260,65401
422,"Rochelle, IL",42.041884,-89.320176,40300,51449
423,"Rochester, MN",43.94981,-92.33066,40340,227151
424,"Rochester, NY",43.148038,-77.523257,40380,1084973
425,"Rockford, IL",42.331183,-89.042914,40420,336278
426,"Rockport, TX",28.122621,-96.967501,40530,24510
427,"Rocky Mount, NC",35.941045,-77.798549,40580,143535
428,"Rome, GA",34.263692,-85.213685,40660,98771
429,"Ruston, LA",32.601823,-92.662303,40820,48152
430,"Sacramento-Roseville-Folsom, CA",38.790272,-121.005643,40900,2411428
431,"Saginaw, MI",43.328267,-84.05541,40980,189591
432,"St. Cloud, MN",45.593031,-94.488363,41060,200406
433,"St. Joseph, MO-KS",39.834843,-94.783754,41140,120424
434,"St. Louis, MO-IL",38.740211,-90.345825,41180,2809299
435,"St. Marys, GA",30.913358,-81.642019,41220,55664
436,"Salem, OH",40.770073,-80.778455,41400,101310
437,"Salem, OR",44.903385,-122.901757,41420,436283
438,"Salisbury, MD-DE",38.399521,-75.478262,41540,429223
439,"Salt Lake City, UT",40.572887,-112.953253,41620,1263061
440,"San Antonio-New Braunfels, TX",29.43306,-98.606973,41700,2601788
441,"Sandusky, OH",41.394143,-82.586835,41780,74852
442,"Sanford, NC",35.476336,-79.172117,41820,64138
443,"San Francisco-Oakland-Berkeley, CA",37.773718,-122.274432,41860,4623264
444,"San Jose-Sunnyvale-Santa Clara, CA",36.908472,-121.371372,41940,1952185
445,"Santa Cruz-Watsonville, CA",37.012347,-122.007789,42100,267792
446,"Santa Fe, NM",35.514531,-105.963972,42140,155201
447,"Santa Rosa-Petaluma, CA",38.525182,-122.92611,42220,485887
448,"Savannah, GA",32.109153,-81.273107,42340,410008
449,"Scottsboro, AL",34.764114,-85.980056,42460,52773
